Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,1,World,7271,Temperature change,7001,January,1990,1990,°C,0.977,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1990,1990,°C,0.771,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1990,1990,°C,1.312,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1990,1990,°C,0.588,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1990,1990,°C,0.399,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1990,1990,°C,0.577,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1990,1990,°C,0.227,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1990,1990,°C,0.425,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1990,1990,°C,0.393,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1990,1990,°C,0.526,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1990,1990,°C,1.053,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1990,1990,°C,0.516,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1990,1990,°C,1.046,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1990,1990,°C,1.446,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1990,1990,°C,1.558,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1990,1990,°C,-0.489,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1990,1990,°C,0.036,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1990,1990,°C,0.483,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1990,1990,°C,0.072,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1990,1990,°C,0.423,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1990,1990,°C,0.58,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1990,1990,°C,1.026,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1990,1990,°C,2.184,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1990,1990,°C,1.642,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1991,1991,°C,0.582,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1991,1991,°C,0.641,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1991,1991,°C,0.671,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1991,1991,°C,0.628,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1991,1991,°C,0.164,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1991,1991,°C,0.571,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1991,1991,°C,0.43,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1991,1991,°C,0.411,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1991,1991,°C,0.431,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1991,1991,°C,0.379,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1991,1991,°C,0.21,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1991,1991,°C,0.188,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1991,1991,°C,1.071,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1991,1991,°C,1.335,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1991,1991,°C,0.322,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1991,1991,°C,-0.059,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1991,1991,°C,0.013,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1991,1991,°C,0.409,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1991,1991,°C,0.329,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1991,1991,°C,0.211,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1991,1991,°C,0.338,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1991,1991,°C,0.207,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1991,1991,°C,0.304,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1991,1991,°C,0.549,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1992,1992,°C,0.952,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1992,1992,°C,0.787,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1992,1992,°C,0.723,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1992,1992,°C,0.259,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1992,1992,°C,0.279,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1992,1992,°C,0.125,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1992,1992,°C,-0.284,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1992,1992,°C,-0.074,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1992,1992,°C,-0.286,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1992,1992,°C,-0.148,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1992,1992,°C,-0.204,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1992,1992,°C,0.395,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1992,1992,°C,1.236,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1992,1992,°C,0.671,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1992,1992,°C,0.003,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1992,1992,°C,1.078,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1992,1992,°C,0.064,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1992,1992,°C,-0.377,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1992,1992,°C,-0.449,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1992,1992,°C,-0.193,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1992,1992,°C,-0.205,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1992,1992,°C,-0.655,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1992,1992,°C,-0.381,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1992,1992,°C,1.091,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1993,1993,°C,0.723,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1993,1993,°C,0.726,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1993,1993,°C,0.804,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1993,1993,°C,0.396,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1993,1993,°C,0.416,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1993,1993,°C,0.337,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1993,1993,°C,0.318,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1993,1993,°C,0.228,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1993,1993,°C,-0.039,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1993,1993,°C,0.275,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1993,1993,°C,-0.363,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1993,1993,°C,0.466,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1993,1993,°C,-0.176,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1993,1993,°C,2.857,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1993,1993,°C,1.115,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1993,1993,°C,0.049,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1993,1993,°C,-0.457,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1993,1993,°C,0.038,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1993,1993,°C,-0.436,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1993,1993,°C,-0.803,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1993,1993,°C,0.229,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1993,1993,°C,-0.252,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1993,1993,°C,-0.073,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1993,1993,°C,0.247,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1994,1994,°C,0.527,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1994,1994,°C,-0.253,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1994,1994,°C,0.712,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1994,1994,°C,0.629,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1994,1994,°C,0.698,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1994,1994,°C,0.642,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1994,1994,°C,0.36,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1994,1994,°C,0.36,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1994,1994,°C,0.486,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1994,1994,°C,0.732,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1994,1994,°C,0.734,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1994,1994,°C,0.522,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1994,1994,°C,1.295,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1994,1994,°C,1.183,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1994,1994,°C,-0.621,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1994,1994,°C,1.149,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1994,1994,°C,0.963,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1994,1994,°C,0.701,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1994,1994,°C,0.788,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1994,1994,°C,0.75,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1994,1994,°C,0.074,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1994,1994,°C,-0.342,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1994,1994,°C,2.419,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1994,1994,°C,1.16,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1995,1995,°C,1.224,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1995,1995,°C,1.707,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1995,1995,°C,0.844,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1995,1995,°C,0.714,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1995,1995,°C,0.572,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1995,1995,°C,0.796,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1995,1995,°C,0.544,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1995,1995,°C,0.861,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1995,1995,°C,0.656,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1995,1995,°C,0.843,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1995,1995,°C,0.768,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1995,1995,°C,0.414,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1995,1995,°C,0.5,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1995,1995,°C,1.331,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1995,1995,°C,0.366,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1995,1995,°C,-0.385,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1995,1995,°C,0.474,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1995,1995,°C,0.732,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1995,1995,°C,-0.006,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1995,1995,°C,0.055,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1995,1995,°C,0.407,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1995,1995,°C,0.943,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1995,1995,°C,1.148,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1995,1995,°C,0.602,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1996,1996,°C,0.271,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1996,1996,°C,0.806,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1996,1996,°C,0.298,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1996,1996,°C,0.099,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1996,1996,°C,0.602,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1996,1996,°C,0.375,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1996,1996,°C,0.466,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1996,1996,°C,0.371,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1996,1996,°C,0.099,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1996,1996,°C,0.187,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1996,1996,°C,0.415,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1996,1996,°C,0.596,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1996,1996,°C,0.44,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1996,1996,°C,0.526,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1996,1996,°C,0.095,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1996,1996,°C,-0.643,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1996,1996,°C,0.392,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1996,1996,°C,0.174,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1996,1996,°C,-0.029,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1996,1996,°C,-0.002,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1996,1996,°C,0.425,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1996,1996,°C,0.368,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1996,1996,°C,-0.011,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1996,1996,°C,1.035,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1997,1997,°C,0.567,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1997,1997,°C,0.791,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1997,1997,°C,0.829,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1997,1997,°C,0.631,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1997,1997,°C,0.455,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1997,1997,°C,0.675,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1997,1997,°C,0.508,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1997,1997,°C,0.669,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1997,1997,°C,0.76,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1997,1997,°C,0.822,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1997,1997,°C,0.632,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1997,1997,°C,0.659,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1997,1997,°C,1.296,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1997,1997,°C,0.951,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1997,1997,°C,1.883,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1997,1997,°C,0.766,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1997,1997,°C,0.965,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1997,1997,°C,0.409,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1997,1997,°C,0.52,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1997,1997,°C,0.689,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1997,1997,°C,-0.608,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1997,1997,°C,0.198,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1997,1997,°C,0.501,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1997,1997,°C,0.626,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1998,1998,°C,0.782,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1998,1998,°C,1.75,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1998,1998,°C,0.97,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1998,1998,°C,1.329,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1998,1998,°C,1.011,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1998,1998,°C,1.048,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1998,1998,°C,1.203,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1998,1998,°C,1.122,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1998,1998,°C,0.88,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1998,1998,°C,0.817,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1998,1998,°C,0.382,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1998,1998,°C,1.037,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1998,1998,°C,0.128,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1998,1998,°C,3.158,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1998,1998,°C,0.862,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1998,1998,°C,2.647,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1998,1998,°C,0.777,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1998,1998,°C,0.794,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1998,1998,°C,0.574,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1998,1998,°C,0.424,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1998,1998,°C,1.504,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1998,1998,°C,1.749,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1998,1998,°C,1.709,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1998,1998,°C,1.999,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1999,1999,°C,1.019,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1999,1999,°C,1.737,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1999,1999,°C,0.375,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1999,1999,°C,0.816,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1999,1999,°C,0.619,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1999,1999,°C,0.666,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1999,1999,°C,0.686,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1999,1999,°C,0.567,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1999,1999,°C,0.679,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1999,1999,°C,0.633,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1999,1999,°C,0.61,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1999,1999,°C,1.122,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1999,1999,°C,2.372,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1999,1999,°C,3.449,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1999,1999,°C,0.293,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1999,1999,°C,1.453,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1999,1999,°C,0.489,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1999,1999,°C,0.798,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1999,1999,°C,0.548,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1999,1999,°C,0.201,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1999,1999,°C,1.15,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1999,1999,°C,0.648,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1999,1999,°C,1.123,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1999,1999,°C,1.151,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,2000,2000,°C,0.482,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,2000,2000,°C,1.238,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,2000,2000,°C,1.158,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,2000,2000,°C,1.382,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,2000,2000,°C,0.744,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,2000,2000,°C,0.614,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,2000,2000,°C,0.529,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,2000,2000,°C,0.679,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,2000,2000,°C,0.471,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,2000,2000,°C,0.276,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,2000,2000,°C,0.094,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,2000,2000,°C,0.223,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,2000,2000,°C,0.176,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,2000,2000,°C,-0.171,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,2000,2000,°C,0.842,E,Estimated value
