抖音号名称,新增作品数,获赞数,评论数,分享数,新增粉丝数,累计粉丝数,新榜指数
李佳琦Austin,20,834534,54744,102774,-120466,44330323,781.3
程十安an,4,1847902,161033,118261,-26895,29192909,791.1
骆王宇（3月1日晚6点38大促直播）,19,358180,34067,37224,133465,20164523,904.4
我是张凯毅,24,1053838,476474,158421,249019,15227654,936.2
FV旗舰店,838,62586,3148,4945,48252,12173569,825.3
iiiis,2,1007525,33762,132550,398609,10291824,918.2
花西子官方旗舰店,179,205364,2410,3655,133843,10117328,831.0
阿纯（3.6日中午12点大促直播！）,5,1542799,58899,397943,808037,10109947,936.8
搭搭??今晚6点王炸爆款返场,127,1033517,246375,55311,140568,9906103,903.1
李小萌主持人,36,1448056,86807,280287,51411,8368217,898.5
马宝儿,12,1841260,30031,45473,85698,8088418,878.8
崔佳楠,28,725342,80471,56366,17014,8050883,865.6
姜了了,8,441232,13881,10136,53479,7337196,839.9
潘雨润3月4日大促来啦！,71,1130666,186236,54877,3528,7075544,845.5
王炸夫妻在日本,10,748903,46466,56199,30643,6943949,864.4
吴小白的游乐园,51,25357,2255,2549,228335,6884551,815.0
小饼干??3??️4结婚周年庆超大场,34,1141220,128925,59351,54512,6532285,879.9
我是香秀????,19,3196228,53361,292137,121231,6471160,900.6
氧化菊,22,2907140,120129,48670,642118,6279980,911.5
河南你华哥李妈妈,147,1242835,54256,20845,7330,6275938,833.5
陈采尼CheneyChan,17,1252653,96355,77417,53170,6131519,879.9
谷大喵??,12,375662,9098,29314,1209,6129797,794.2
完美日记官方旗舰店,70,102378,5458,30544,40215,5977798,831.1
小静美发,15,62389,1774,10368,771608,5834754,844.3
珀莱雅官方旗舰店,33,22362,2811,2580,141136,5491029,803.8
-谢欣桐-,12,1920717,88576,83259,34764,5477807,872.6
张沫凡MOMO,85,1556621,56456,168355,41546,5339197,878.4
莉姐,95,1152256,44865,370866,191932,5046028,894.6
拜托辣油,40,2095047,79839,103539,81179,5033382,883.3
道上都叫我赤木刚宪,26,802515,63497,210360,714,4849789,822.2
山城小栗旬的理发日记（穿裤子版）,7,779621,30501,50669,30806,4696476,848.3
琦儿Leo⭐️3月1日11点宠粉女王节！,18,247814,13012,6613,115711,4475990,827.9
灵美人（专注防脱洗发水??）,77,214712,22996,11936,46157,4469241,827.6
黄好厉害⭐️,9,206005,6114,8150,15126,4261370,795.4
原来是陶阿狗君,8,940570,15380,35468,19469,4259593,829.8
爱雨❤️塑醒品牌创始人,118,110085,2658,7070,222841,4223099,819.3
爱而乐️（3月5号早9点30女神节大场）,59,190598,3042,2350,42175,4171829,786.5
尹可以,33,1705414,110445,98332,184042,4123400,889.7
是小鱼耶,14,1789130,50192,60633,607590,4064078,892.3
雅诗兰黛,21,85404,2948,2876,149260,4035497,801.7
画梅 三月四号重磅大场,5,461174,166272,54494,20895,4034399,849.4
小A_Vicky,17,621791,26190,47196,7305,4016478,822.1
化妆小天才肖遥,17,995638,29353,50329,134173,3862496,862.2
一一只是黑猫,9,560138,24356,53265,10912,3817564,826.4
一枝南南（3月6日11点开播??）,26,961411,52374,87475,39915,3556549,855.7
铂思亚官方旗舰店,1056,155253,3128,27371,18253,3508660,800.6
英子家白发记,2,22713,1423,7333,102037,3500379,793.6
唐毅TangYi,12,608145,22697,75749,303113,3438459,870.7
楚楚小姐??水蔻妍品牌创始人,14,31398,1566,2570,230165,3303662,791.4
自然堂官方旗舰店,25,91550,1664,3497,73607,3252700,783.9
田恬 TTyilia,136,135979,3719,6085,61973,3192203,796.2
大肚子油油（3月3号下午六点女神节专场）,19,465493,16116,34929,21873,3142832,820.4
兰蔻LANCOME,32,52243,3081,5303,78018,3066616,791.6
陈圆圆超可爱,23,1957465,384963,128769,286880,2994878,890.3
侠客??化妆品（兰妆品牌）,142,23695,4232,41965,43272,2975497,808.8
女明猩粥粥??,16,1303262,73417,211631,143318,2878413,879.1
Lalla香香,24,307153,7360,14145,26244,2852343,800.7
大连兰奈儿生物工程有限公司（女神节破价,87,105867,1094,4211,212375,2778346,792.4
透蜜官方旗舰店,325,234797,4172,22681,321510,2776707,832.7
丑姐不丑,11,575055,74412,69378,111039,2747048,860.0
月野Hex,13,385436,10704,32785,16252,2730331,807.5
小乖乖工厂店（8.10分开播）,43,162750,3384,15721,150401,2724774,814.7
大西米君,29,423407,43280,72029,7419,2713643,819.2
爱化妆的二双,16,762153,21703,37091,108219,2709355,841.9
聂小倩她老板,17,1355674,84317,182139,59023,2594115,865.8
兰普兰,11,245636,9600,21774,19904,2593947,801.2
一番fane,8,362259,4278,11963,16705,2548409,785.3
苏大实验员萝卜（周四11.啵啵）,32,602334,7178,11133,29569,2542951,797.9
何丹彤的日常,14,1134013,32096,48603,42337,2538622,835.7
迷迭香有剧,60,288448,10749,11050,19618,2522402,793.3
奔跑吧dita【3月4号女神节大场】,288,256299,8926,15292,101157,2511675,816.6
周小仙yoo,24,1373297,16496,92302,210778,2504958,859.2
ONLeeLOVE,7,273381,10204,26980,38290,2495940,812.2
俩不正（微眸）,16,1755673,144634,246183,74174,2494771,871.1
阿King哥,16,277481,7627,28476,20487,2415857,801.3
马思颖美妆,160,144348,4262,15047,159428,2358856,812.3
一只河豚揪,23,125038,5649,6773,86595,2342072,796.2
安七七,13,659775,8099,35758,43769,2321094,816.2
希娜??3??️4号周六早十大场上新??,38,261268,13193,5995,69029,2244173,800.2
钟柏芝daily,9,276091,9563,20787,8683,2220655,785.6
热心主播杨美丽,36,236548,32322,10718,43121,2156471,807.5
哦吼是辣妹,13,361170,6790,8057,18881,2114304,780.5
冰老头,21,210940,13425,173103,18393,2110656,822.3
台州熹金电子商务有限公司,199,69639,872,32061,39715,2088351,784.0
卢圆圆（长头发版,41,2188775,142928,416843,201594,2078042,879.6
是亮亮,27,1386485,31097,69834,32338,2045353,830.8
子荷（3.2号11点破价大啵！,44,333509,12476,22025,27950,2037789,802.0
gaga嘎嘎嘎嘎,21,325710,22217,19052,13916,2006944,795.6
MAJOONE是阿蛮,12,448688,21845,29891,6184,2000141,791.4
淦诗岐3.4生日周年场疯狂星期六??,26,434624,38781,25736,4460,1990216,789.9
膜膜王,3,287192,28683,160807,18579,1957834,826.8
星辰姐（每天早上5.52开播）,242,73201,8532,6447,96201,1934027,793.2
Aekyung爱敬官方旗舰店,972,113298,14503,19160,202752,1932431,822.4
蒲儿姓蒲,36,365175,12879,13496,19040,1932398,790.0
啊哈哈哈哈哈黑猫警长,16,1628441,157641,292088,71303,1930414,862.9
小野曼妮,7,229355,2787,11908,32453,1908007,780.4
就叫灵子吧,74,178916,105430,416165,6054,1907981,822.5
AMORTALS尔木萄官方旗舰店,43,15113,7597,6658,125622,1881306,790.1
是书瑶呀??3月1号中午11点狂欢女王节,19,242673,45051,164841,28220,1856103,834.4
丢掉胖胖,23,363719,10467,19190,54383,1813849,804.4
Gabby,22,241678,15053,21088,22506,1809812,795.8
氧气了没,7,646127,51913,123680,37963,1756248,837.5
钱颂亿kiki,9,518655,54448,192942,3935,1754561,812.2
三三子COCO,31,252714,11833,32067,78684,1744725,814.3
赵二蛋美妆,118,372181,54111,143601,189616,1680051,857.6
名媛厚本,6,255009,7310,19893,33268,1655730,791.5
vivichen,26,567304,32572,29060,11123,1617558,796.7
臭美乔一,9,760847,10055,36040,7103,1563061,783.4
可爱鬼 ✨,26,769825,101968,31517,60856,1556768,829.6
曼曼变漂亮,22,606511,11505,56639,83069,1548918,821.2
ninth,16,557812,17921,41501,16749,1534912,799.8
我叫双子,17,618404,31240,85380,18950,1510417,814.9
TFIT官方旗舰店,200,64346,2932,10464,164128,1465635,788.5
黑糕妹,34,190989,23629,12188,75582,1409135,800.6
伊丽鲨白,29,508106,34423,60640,49378,1404789,821.3
烤猪猪,9,1043363,11901,31511,10905,1400667,786.6
你的玉米耶,14,1001004,39391,69617,16864,1387025,812.0
吉吉快跑,14,292824,12884,111400,9093,1378928,796.0
Goss,7,172064,34561,20797,139831,1368745,817.4
拾柒护肤总裁,184,431502,11683,135435,392611,1349638,847.3
A萌不太萌（3月3日A萌限定宠粉福利）,28,370424,12033,17326,20111,1277002,781.2
霞姐假发旗舰店,530,209428,5388,12656,153366,1268517,794.9
神仙藤井树,24,1157340,71134,122044,50150,1256601,835.9
王欢喜Fancy（????泰国版）,30,309617,75495,225677,26109,1249437,828.2
Oliver Walsh,9,382991,20400,62311,149392,1237022,827.0
高总家【轻e美护肤】,772,90586,7706,15439,68185,1204302,785.6
Cathy??,9,828202,16860,15308,30794,1202626,789.0
_阿NiuNiu （孕晚期）,91,409169,12592,9390,47575,1199986,783.8
阿里北杯,23,2444900,101732,230844,137881,1192561,857.9
满意仔（3.1上午11点首啵打工版,33,455891,9598,16238,32447,1189759,783.3
炸毛丝（战狼版）,41,535201,35396,32184,5953,1189712,781.4
一朵鱼,26,369188,14475,44066,29063,1183417,797.0
海飞丝去屑官方直播间,13,357797,7913,7230,100144,1171250,785.1
夏蓝,13,573376,19020,112708,81639,1128372,824.5
茶茶冰_,12,223451,26231,93856,8322,1121734,791.9
EIIO奕沃官方旗舰店,570,280842,10002,14920,62824,1118120,787.9
狗屁小鲜肉包,23,744919,27258,45361,76597,1115872,816.0
张甜粒子,35,438696,37069,78953,16950,1111688,804.0
肉松小淳,21,2779146,180870,477049,98958,1104042,852.7
小熊的奇思妙想的小号,19,2869382,98179,66322,144009,1100520,843.9
欣冉儿童编发,32,274388,5421,57937,24539,1079918,786.1
侯小西,9,342642,8261,49220,20495,1077129,786.0
大宋宋Tiffany,15,324987,9218,30476,23871,1024605,781.3
钰霏??,141,127769,9487,14867,138624,1016385,792.4
周四蛋3月8号百万粉丝×3.8狂欢节~,29,347808,35307,20768,68031,1000694,801.3
曼迪斯R,18,429083,6897,112168,52023,988028,805.0
方脸姐妹,21,280383,15803,89550,9363,981999,785.4
是之鹰呀,16,236368,3679,38491,108295,960735,793.2
肉肉??,22,814929,177950,43975,85962,908811,823.7
阳六6,34,372994,53607,248262,18503,899199,811.8
JOAH那那,24,521968,29681,39897,21058,877334,790.1
薇掌柜V（早上7:00开播）,97,75652,6148,11038,160511,866638,780.5
美讶,14,862585,131000,66724,37946,855387,816.6
铂瑞珥饰品旗舰店,461,209086,6681,36768,117104,848323,794.7
复旦皮肤学Dr.Lim,32,564100,25329,189904,63800,847687,821.2
恩妮诗化妆品旗舰店,116,234040,8196,43351,32911,829485,781.7
芊雨聊护肤,85,117110,4722,11057,312115,817035,786.7
chilly香菜,13,585599,33563,59860,95821,806000,813.9
九歌????,34,516745,53765,19298,18598,805147,782.1
叽叽亚亚,11,480612,28548,130554,4110,802604,780.3
攀攀nikki,19,351226,36804,176027,14361,802462,801.5
pp酱,25,1401176,50400,160462,60751,801291,826.3
木木u,24,679457,34220,40315,23516,792037,790.8
于有鱼（180斤版,38,920580,103833,91527,120615,762370,831.7
Jade金豆,21,420615,6589,10863,149412,758233,781.7
瓜瓜,19,895573,16894,50186,23257,755054,786.8
沧州大叔巡剪中,22,276321,26271,97788,14207,736768,787.9
少女总裁,43,441132,96406,83569,30959,727849,808.5
遥遥小宝,15,203014,8235,13297,148049,725729,782.4
零吧啦,18,663616,26516,72539,9460,720541,781.2
BB大王,7,546249,30902,83341,144595,710955,818.8
百变小欣,22,1454111,59578,138425,132697,698358,832.3
小阿娘,14,414909,32005,67310,113763,692459,811.7
李阿壹,27,552343,13721,57375,73854,657280,796.2
今野不回家,12,385334,45821,35485,24818,625128,783.7
琳琳爸,25,390205,18410,56225,64660,624186,794.1
赵赵爱睡觉,16,1315571,133173,610130,54822,618237,825.7
马晓晴Er,35,613084,31281,137270,19989,618010,795.6
叶赫那拉歌灵,25,402322,50304,55800,174892,604773,814.8
技术员小星星??,11,221872,13018,33321,60290,594053,780.4
叫我郑朕朕,21,1182217,67748,321496,316234,570083,841.4
大四喜,24,553325,114619,92923,90467,556669,818.2
阿螺不怕,21,581139,68380,129643,17381,555750,796.5
粤式斯文sisi,19,114886,17732,61232,39025,548539,780.5
淉uuup,15,497186,28131,109150,11473,541562,780.0
徐好几岁,24,1180682,73835,75285,114732,514022,815.1
爱做美甲的鸭鸭,26,649856,42240,128913,12838,490403,785.1
小涵同学,10,384255,53739,147165,37877,455564,799.0
serpent發財,25,940750,51782,101916,59188,453830,802.8
假发椰子,157,286701,59985,94394,23687,432259,785.9
王小兰想单飞,21,533854,85361,281185,9775,409281,785.8
阿钰不能再干饭了,20,704705,44388,112038,42206,383369,792.4
一个芋头,26,440684,47607,53743,42232,382976,782.3
崔夕夕,15,1390747,129160,338160,21999,334855,796.2
眠zzz,18,1513511,109275,263020,234164,332385,826.7
双木林林子,13,979520,96949,312019,31886,308264,796.1
早见造型,15,167303,27111,68451,120672,307887,784.7
爱做美甲的小鹿,44,869180,53456,199783,59877,303360,798.3
瑜瑜不是二狗,13,449509,67936,173116,28711,301735,788.0
贝壳小宁,12,1523792,435103,1113118,100235,225508,804.8